,gene,module,color
USP32 /// USP6,USP32 /// USP6,0,grey
USP32P2,USP32P2,0,grey
USP33,USP33,0,grey
USP34,USP34,0,grey
USP36,USP36,0,grey
USP39,USP39,1,turquoise
USP4,USP4,1,turquoise
USP46,USP46,1,turquoise
USP47,USP47,1,turquoise
USP48,USP48,0,grey
USP49,USP49,0,grey
USP5,USP5,0,grey
USP53,USP53,1,turquoise
USP6NL /// USP6NL-IT1,USP6NL /// USP6NL-IT1,1,turquoise
USP7,USP7,1,turquoise
USP8,USP8,0,grey
USP9X,USP9X,1,turquoise
USP9Y,USP9Y,0,grey
USPL1,USPL1,0,grey
UST,UST,0,grey
UTF1,UTF1,1,turquoise
UTP11L,UTP11L,0,grey
UTP14A,UTP14A,13,salmon
UTP18,UTP18,1,turquoise
UTP20,UTP20,1,turquoise
UTP3,UTP3,0,grey
UTP6,UTP6,1,turquoise
UTRN,UTRN,1,turquoise
UTS2,UTS2,0,grey
UTY,UTY,0,grey
UVRAG,UVRAG,11,greenyellow
UXS1,UXS1,1,turquoise
UXT,UXT,0,grey
VAC14,VAC14,1,turquoise
VAMP1,VAMP1,2,blue
VAMP2,VAMP2,1,turquoise
VAMP3,VAMP3,1,turquoise
VAMP4,VAMP4,0,grey
VAMP5,VAMP5,1,turquoise
VAMP7,VAMP7,0,grey
VAMP8,VAMP8,1,turquoise
VANGL1,VANGL1,0,grey
VAPA,VAPA,0,grey
VAPB,VAPB,1,turquoise
VARS,VARS,0,grey
VASH1,VASH1,1,turquoise
VASH2,VASH2,0,grey
VASP,VASP,0,grey
VAT1,VAT1,1,turquoise
VAV1,VAV1,0,grey
VAV2,VAV2,1,turquoise
VAV3,VAV3,1,turquoise
VAX2,VAX2,0,grey
VBP1,VBP1,13,salmon
VCAM1,VCAM1,1,turquoise
VCAN,VCAN,1,turquoise
VCL,VCL,2,blue
VCP,VCP,1,turquoise
VCPIP1,VCPIP1,0,grey
VCPKMT,VCPKMT,1,turquoise
VCX2,VCX2,0,grey
VCY /// VCY1B,VCY /// VCY1B,0,grey
VDAC1,VDAC1,1,turquoise
VDAC2,VDAC2,1,turquoise
VDAC3,VDAC3,0,grey
VDR,VDR,0,grey
VEGFA,VEGFA,1,turquoise
VEGFB,VEGFB,1,turquoise
VEGFC,VEGFC,0,grey
VENTX,VENTX,0,grey
VENTXP1,VENTXP1,0,grey
VEZF1,VEZF1,0,grey
VEZT,VEZT,0,grey
VGF,VGF,0,grey
VGLL1,VGLL1,0,grey
VGLL3,VGLL3,0,grey
VGLL4,VGLL4,1,turquoise
VHL,VHL,0,grey
VIL1,VIL1,0,grey
VILL,VILL,5,green
VIM,VIM,0,grey
VIP,VIP,0,grey
VIPAS39,VIPAS39,0,grey
VIPR1,VIPR1,1,turquoise
VIPR2,VIPR2,0,grey
VKORC1,VKORC1,1,turquoise
VLDLR,VLDLR,1,turquoise
VN1R1,VN1R1,0,grey
VNN1,VNN1,0,grey
VNN2,VNN2,0,grey
VNN3,VNN3,0,grey
VOPP1,VOPP1,1,turquoise
VPRBP,VPRBP,0,grey
VPREB1,VPREB1,0,grey
VPREB3,VPREB3,6,red
VPS11,VPS11,0,grey
VPS13A,VPS13A,1,turquoise
VPS13B,VPS13B,0,grey
VPS13C,VPS13C,1,turquoise
VPS13D,VPS13D,1,turquoise
VPS16,VPS16,8,pink
VPS26A,VPS26A,0,grey
VPS28,VPS28,0,grey
VPS33A,VPS33A,0,grey
VPS33B,VPS33B,0,grey
VPS35,VPS35,0,grey
VPS37B,VPS37B,1,turquoise
VPS37C,VPS37C,1,turquoise
VPS39,VPS39,0,grey
VPS41,VPS41,0,grey
VPS45,VPS45,0,grey
VPS4A,VPS4A,0,grey
VPS4B,VPS4B,1,turquoise
VPS51,VPS51,0,grey
VPS52,VPS52,0,grey
VPS53,VPS53,1,turquoise
VPS54,VPS54,1,turquoise
VPS72,VPS72,1,turquoise
VPS8,VPS8,1,turquoise
VPS9D1,VPS9D1,1,turquoise
VRK1,VRK1,1,turquoise
VRK2,VRK2,0,grey
VRK3,VRK3,0,grey
VRTN,VRTN,0,grey
VSIG4,VSIG4,3,brown
VSNL1,VSNL1,0,grey
VSTM4,VSTM4,2,blue
VSX1,VSX1,0,grey
VTCN1,VTCN1,0,grey
VTI1B,VTI1B,0,grey
VWA1,VWA1,0,grey
VWA5A,VWA5A,0,grey
VWA7,VWA7,1,turquoise
VWA8,VWA8,0,grey
VWA9,VWA9,0,grey
VWF,VWF,1,turquoise
WAC,WAC,0,grey
WAPAL,WAPAL,0,grey
WARS,WARS,1,turquoise
WARS2,WARS2,0,grey
WAS,WAS,0,grey
WASF1,WASF1,0,grey
WASF2,WASF2,1,turquoise
WASF3,WASF3,2,blue
WASL,WASL,1,turquoise
WBP11,WBP11,1,turquoise
WBP1L,WBP1L,0,grey
WBP2,WBP2,1,turquoise
WBP4,WBP4,0,grey
WBP5,WBP5,1,turquoise
WBSCR16,WBSCR16,1,turquoise
WBSCR22,WBSCR22,1,turquoise
WDFY3,WDFY3,1,turquoise
WDHD1,WDHD1,1,turquoise
WDR1,WDR1,1,turquoise
WDR11,WDR11,0,grey
WDR12,WDR12,1,turquoise
WDR13,WDR13,0,grey
WDR18,WDR18,1,turquoise
WDR19,WDR19,0,grey
WDR25,WDR25,0,grey
WDR26,WDR26,1,turquoise
WDR3,WDR3,1,turquoise
WDR37,WDR37,0,grey
WDR4,WDR4,2,blue
WDR41,WDR41,0,grey
WDR43,WDR43,1,turquoise
WDR44,WDR44,1,turquoise
WDR45,WDR45,0,grey
WDR45B,WDR45B,0,grey
WDR46,WDR46,0,grey
WDR47,WDR47,1,turquoise
WDR48,WDR48,1,turquoise
WDR52,WDR52,1,turquoise
WDR55,WDR55,0,grey
WDR59,WDR59,0,grey
WDR5B,WDR5B,1,turquoise
WDR6,WDR6,0,grey
WDR60,WDR60,1,turquoise
WDR61,WDR61,0,grey
WDR62,WDR62,1,turquoise
WDR7,WDR7,0,grey
WDR70,WDR70,0,grey
WDR73,WDR73,0,grey
WDR74,WDR74,1,turquoise
WDR76,WDR76,1,turquoise
WDR77,WDR77,1,turquoise
WDR78,WDR78,0,grey
WDR82,WDR82,0,grey
WDR83OS,WDR83OS,0,grey
WDR91,WDR91,0,grey
WDR96,WDR96,0,grey
WDTC1,WDTC1,1,turquoise
WDYHV1,WDYHV1,1,turquoise
WEE1,WEE1,9,magenta
WFDC1,WFDC1,1,turquoise
WFDC2,WFDC2,0,grey
WFDC8,WFDC8,0,grey
WFS1,WFS1,0,grey
